user_id,commerce_id,view,comment,like,fav,share,rate,asset_id
540a4da2-8d74-4482-b2bd-8f715af374ad,6a465357cf7687f696516000,1,我们有大量实战经验，能够应对各种复杂拍摄场景。,0,1,1,2,
2a31aaad-c163-4e79-97b7-2d112fdc1fcb,6a46535752424287ce517785,1,案例涵盖了从初创品牌到上市公司的不同需求。,0,1,0,3.4,5fb18b62-1dba-4610-9300-555dde844607
ef722095-c242-4622-b2b2-4e8f3d38dd0a,6a465357e497865213515b95,1,我们是政府认证的影视制作企业，资质齐全。,0,0,0,1.9,
86e82c44-e9d4-48a0-a20f-b53602fde33e,6a465357e850fff312516f68,1,团队规模灵活，可以根据项目大小调整人员配置。,1,0,1,3.1,a22fe222-7dda-4bf6-85ab-8063cb4104b0
6ef712bf-340a-473c-8a11-f03ddc165fa8,6a465357b47a690668515ec2,1,,0,1,0,1.8,
fc154efa-0744-4a5a-a686-926511e52fe2,6a4653575579254723515ef9,1,,1,0,0,3.1,
5fae70c4-7bdc-4293-a358-7c8556cfef02,6a465357fcc644f9c3516594,1,设备齐全，从索尼FX6到RED都有，满足不同档次需求。,1,0,0,1.8,
30b2c556-e7eb-4663-a222-fbe35488a03d,6a4653573371960da5516ad9,1,,1,0,0,2.9,
46ab0e53-436f-4d81-b011-4adc36df3651,6a4653573e13fe2cf2516fc1,1,签约后会有专属项目经理跟进，确保项目顺利推进。,0,0,1,4.1,5cb0c85f-ea0b-4674-b4c0-ad034b4003ba
f98edc10-4c7d-4dbb-b149-6be87ab2ec35,6a465357b8243e086551643a,1,,0,0,1,3,ff11f840-49e6-4a96-9fbe-aa73b1964229
86e0a565-f2a8-4ede-a7e9-6a703bd28329,6a465357d87001d67d51577d,1,我们上个月刚做完一个同类型的项目，客户很满意。,0,0,1,2.6,
38d6acf9-e3bd-49c5-95ff-0088eaf85d34,6a465357518c21a2825158dd,1,建议用快节奏剪辑配合强视觉冲击，适合短视频平台。,0,1,0,3.4,
71f8e445-fe77-4997-9145-ae179293aadc,6a465357ebbcdfbde8516450,1,,1,0,0,1.8,85df1f67-25bd-4631-806a-937e47cd2d23
535aa411-207a-4fc1-9b33-81e405f14fee,6a465357e2187e72555175aa,1,我们很想接这个项目，因为是我们擅长的领域。,1,0,1,3.2,
26254079-fd34-4ea5-8536-0211a5205e7b,6a4653573275436eed5171dc,1,视频的传播目的是什么？提升认知还是促进销售？,1,1,0,3.3,fe10d122-eb41-42b8-a989-c71faddd81bd
